City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
105,Padampur,IN,94.62,overcast clouds,29.6833,73.6167,Sidhu wali dhani
109,Saint George,US,90.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
129,Murgab,TM,91.27,clear sky,37.4966,61.9714,Wepa Nurlyýew
132,Darab,IR,93.33,few clouds,28.7519,54.5444,Naghshe shapoor Hotel
228,Nizwa,OM,91.26,scattered clouds,22.9333,57.5333,Orient Apartments
258,Tanda,IN,92.93,overcast clouds,26.55,82.65,MUMTAZ GANJ TANDA
280,Jiuquan,CN,92.48,clear sky,39.7432,98.5174,Jiuquan Hotel
289,Amuntai,ID,93.88,scattered clouds,-2.4177,115.2494,Hotel Balqis
313,Sherghati,IN,91.02,overcast clouds,24.5667,84.7833,Mamu Hotal
333,Taft,IR,94.95,clear sky,31.7471,54.2088,عمارت ساعتی تفت
365,Victoria,HK,96.85,clear sky,22.2855,114.1577,Mini Central
368,Sur,OM,92.46,broken clouds,22.5667,59.5289,Sur Plaza Hotel
396,Dubai,AE,98.85,scattered clouds,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
435,Hami,CN,100.0,clear sky,42.8,93.45,Laoyutang Resort
438,Yangjiang,CN,91.98,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
458,Haimen,CN,98.49,clear sky,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
470,Nishihara,JP,91.06,few clouds,26.1842,127.7558,Minshuku Agaihama
476,Shihezi,CN,94.42,scattered clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
479,Hasaki,JP,91.8,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
485,Jinhua,CN,98.94,clear sky,29.1078,119.6547,Yayi Hotel
545,Santa Rosa,PH,95.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
576,Fortuna Foothills,US,91.22,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
580,Bosaso,SO,93.09,scattered clouds,11.2842,49.1816,Red Sea Hotel
637,Zhifang,CN,92.1,clear sky,30.35,114.3167,Echarm Hotel Jiangxia Zhongbai Plaza
638,Macau,MO,96.6,few clouds,22.2006,113.5461,Grand Emperor Hotel
680,Nushki,PK,93.83,broken clouds,29.5542,66.0215,Shams hotel
717,Encheng,CN,96.96,clear sky,22.1839,112.3026,Pinghu Hostel
